都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
152188,3000200001,新潟県,五泉市,阿賀のめぐみ望川閣,アガノメグミボウセンカク,五泉市佐取2869,,37.736045,139.291303,１階フロント,0250-47-1000,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200002,新潟県,五泉市,イーグルブルグマンジャパン㈱,イーグルブルグマンジャパン（カブ）,五泉市中川新514,,37.723305,139.23634,各棟に設置（８台）,0250-47-1111,,,,月火水木金,,,業務時間内利用可。,,,
152188,3000200003,新潟県,五泉市,いいはま歯科クリニック,イイハマシカクリニック,五泉市村松甲2190-1,,37.692473,139.177804,診察室,0250-58-1182,,,,月火水木金土,09:00,18:30,土曜日の午後、日曜日、祝日は利用不可。,,,
152188,3000200004,新潟県,五泉市,いきいきシニアプラザむらまつ,イキイキシニアプラザムラマツ,五泉市村松甲2216,,37.692855,139.178385,創作活動室,0250-47-7391,,,,,,,施設利用時利用可。,,,
152188,3000200005,新潟県,五泉市,石曽根医院,イシゾネイイン,五泉市石曽根7990,,37.696689,139.18372,待合室,0250-58-6335,,,,月火水木金土,09:00,18:00,水曜日と土曜日の午後、日曜日と祝日は利用不可。,,,
152188,3000200006,新潟県,五泉市,いずみ学童クラブ,イズミガクドウクラブ,五泉市本町6丁目6-17,,37.745004,139.177372,玄関,0250-42-3365,,,,月火水木金土日,13:00,18:30,学校休業日は7:30から利用可。,,,
152188,3000200007,新潟県,五泉市,㈱ウオロク五泉店,（カブ）ウオロクゴセンテン,五泉市今泉930,,37.725387,139.176498,ATM脇,0250-41-1151,,,,月火水木金土日,09:00,23:59,,,,
152188,3000200008,新潟県,五泉市,黄金の里会館,オウゴンノサトカイカン,五泉市蛭野878-13,,37.641072,139.188925,１階フロント,0250-58-1808,,,,月火木金土日,09:00,17:00,12/1から3/31利用不可。水曜日が祝日の場合利用可。,,,
152188,3000200009,新潟県,五泉市,大日方医院,オビナタイイン,五泉市寺沢3丁目2-1,,37.732129,139.183264,診察室,0250-48-5151,,,,月火水木金土,09:00,19:00,木曜日、土曜日の午後と祝日終日利用不可。,,,
152188,3000200010,新潟県,五泉市,ガーデンホテルマリエール,ガーデンホテルマリエール,五泉市赤海1074-1,,37.745464,139.194771,１階フロント,0250-42-1212,,,,月火水木金土日,,,24時間利用可。,,,
152188,3000200011,新潟県,五泉市,カーブス五泉,カーブスゴセン,五泉市太田994-1,,37.744788,139.185526,店舗内,0250-42-5512,,,,月火水木金土,10:00,19:00,土曜日は13:00まで利用可。祝日は利用不可。,,,
152188,3000200012,新潟県,五泉市,学童クラブげんき童夢,ガクドウクラブゲンキドウム,五泉市駅前2丁目6-24,,37.735084,139.182765,事務コーナー,0250-43-1880,,,,月火水木金土日,13:00,18:30,学校休業日は7:30から利用可。,,,
152188,3000200013,新潟県,五泉市,笠原内科医院,カサハラナイカイイン,五泉市村松乙135,,37.694059,139.175161,診察室,0250-58-7870,,,,月火水木金土,09:00,17:30,水曜日と土曜日の午後、第2第4水曜日、日曜日、祝日は利用不可。,,,
152188,3000200014,新潟県,五泉市,金子医院,カネコイイン,五泉市村松甲1772,,37.692565,139.175709,診察室,0250-58-6073,,,,月火水木金土,09:00,18:00,第2第4木曜日の午後、土曜日の午後、日曜日、祝日、第1第3木曜日は利用不可。,,,
152188,3000200015,新潟県,五泉市,加茂信用金庫村松支店,カモシンヨウキンコムラマツシテン,五泉市村松甲1769-1,,37.692306,139.177365,１階営業室店内,0250-58-7195,,,,月火水木金,09:00,15:00,,,,
152188,3000200016,新潟県,五泉市,蒲沢会館,ガワザワカイカン,五泉市本田屋3515-1,,37.710854,139.177196,１階事務所,0250-58-8700,,,,,,,施設利用時利用可。,,,
152188,3000200017,新潟県,五泉市,川内体育館,カワチタイイクカン,五泉市川内197,,37.6779,139.209993,ステージ控室,,,,,,,,施設利用時利用可。,,,
