都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
152188,3000300001,新潟県,五泉市,愛松園,アイショウエン,短期入所生活介護（ショートステイ）,新潟県五泉市番坂新174-2,,,,0250-25-7047,,0250-58-5726,,さくら福祉保健事務組合,1571700440,,,,,
152188,3000300002,新潟県,五泉市,愛松園,アイショウエン,居宅介護支援,新潟県五泉市番坂新174-2,,,,0250-58-5447,,0250-58-5726,,さくら福祉保健事務組合,1571700408,月火水木金,,,,
152188,3000300003,新潟県,五泉市,愛宕の里在宅介護支援センター,アタゴノサトザイタクカイゴシエンセンター,居宅介護支援,新潟県五泉市村松1409-1,,,,0250-58-6976,,0250-58-6982,2.11E+12,医療法人社団真仁会,1571700390,月火水木金,,,,
152188,3000300004,新潟県,五泉市,居宅介護支援事業所縁,キョタクカイゴシエンジギョウショエン,居宅介護支援,新潟県五泉市村松甲4050-1,,,,0250-47-7826,,0250-47-7827,,株式会社　縁,1571700663,月火水木金,,,,
152188,3000300005,新潟県,五泉市,居宅介護支援事業所桜,キョタクカイゴシエンジギョウショサクラ,居宅介護支援,新潟県五泉市笹野町甲2090-1,,,,0250-58-4744,,0250-47-3994,,株式会社桜ナーシングファシリティ,1571700853,,,,,
152188,3000300006,新潟県,五泉市,グループホームありがとうの家,グループホームアリガトウノイエ,認知症対応型共同生活介護（グループホーム）,新潟県五泉市村松甲5604-1,,,,0250-58-8313,,0250-58-8339,9.11E+12,特定非営利活動法人みどり心育会,1571700465,,,18,,
152188,3000300007,新潟県,五泉市,グループホームありがとうの家小新保,グループホームアリガトウノイエコシンボ,認知症対応型共同生活介護（グループホーム）,新潟県五泉市村松1289-1,,,,0250-58-7890,,0250-47-8998,9.11E+12,特定非営利活動法人みどり心育会,1591700149,,,9,,
152188,3000300008,新潟県,五泉市,グループホーム楓の杜,グループホームカエデノモリ,認知症対応型共同生活介護（グループホーム）,新潟県五泉市南本町2-3-2,,,,0250-43-7048,,0250-43-7045,,株式会社ラカスタ,1591700040,,,9,,
152188,3000300009,新潟県,五泉市,グループホーム菜の花,グループホームナノハナ,認知症対応型共同生活介護（グループホーム）,新潟県五泉市東石曽根5651,,,,0250-58-0212,,0250-58-0213,6.11E+12,株式会社菜の花,1591700107,,,9,,
152188,3000300010,新潟県,五泉市,グループホームふれ愛,グループホームフレアイ,認知症対応型共同生活介護（グループホーム）,新潟県五泉市船越26-1,,,,0250-25-7772,,0250-25-7844,1.11E+12,株式会社介護サービス虹,1591700198,,,9,,
152188,3000300011,新潟県,五泉市,ケアサポートセンターひまわり,ケアサポートセンターヒマワリ,居宅介護支援,新潟県五泉市南本町3-949,,,,0250-41-0303,,0250-41-0330,8.11E+12,医療法人社団五十嵐整形外科,1571700184,月火水木金土,,,,
152188,3000300012,新潟県,五泉市,ケアサポート虹,ケアサポートニジ,小規模多機能型居宅介護,新潟県五泉市船越130-2,,,,0250-25-7416,,0250-25-7417,1.11E+12,株式会社介護サービス虹,1591700081,,,29,,
152188,3000300013,新潟県,五泉市,ケアステーションこんぺいとう,ケアステーションコンペイトウ,訪問介護（グループヘルプ）,新潟県五泉市宮町4-10,,,,0250-47-3261,,0250-47-3262,9.11E+12,株式会社下越照明サービス,1571700622,月火水木金,,,,
152188,3000300014,新潟県,五泉市,ケアステーションこんぺいとう,ケアステーションコンペイトウ,居宅介護支援,新潟県五泉市宮町4-10,,,,0250-47-3261,,0250-47-3262,9.11E+12,株式会社下越照明サービス,1571700630,月火水木金,,,,
152188,3000300015,新潟県,五泉市,ケアプラン山王苑,ケアプランサンノウエン,居宅介護支援,新潟県五泉市村松203-1,,,,0250-41-5232,,0250-58-5143,3.11E+12,社会福祉法人茨塚福祉会,1571700382,月火水木金,,,,
152188,3000300016,新潟県,五泉市,ケアプランセンターいずみ,ケアプランセンターイズミ,居宅介護支援,新潟県五泉市太田440-1,,,,0250-43-8452,,0250-43-8442,2.11E+12,医療法人社団真仁会,1571700846,月火水木金,,,,
152188,3000300017,新潟県,五泉市,ケアプランどりーむ,ケアプランドリーム,居宅介護支援,新潟県五泉市駅前1-9-8,,,,0250-47-8171,,0250-47-8172,9.11E+12,有限会社ケアサプライどりーむ,1571700747,月火水木金,,,,
152188,3000300018,新潟県,五泉市,こころつくし介護支援センター,ココロツクシカイゴシエンセンター,居宅介護支援,新潟県五泉市村松甲5551-1,,,,0250-41-5222,,0250-47-5711,1.11E+12,社会福祉法人みどり心育会,1571700788,月火水木金・祝,,,,
152188,3000300019,新潟県,五泉市,五泉市はじめデイサービスセンター,ゴセンシハジメデイサービスセンター,通所介護（デイサービス）,新潟県五泉市馬下1381,,,,0250-47-1066,,0250-47-1067,9.11E+12,社会福祉法人親永会,1571700044,月火水木金土日・祝,,30,,
152188,3000300020,新潟県,五泉市,五泉社協ふれあいステーション,ゴセンシャキョウフレアイステーション,居宅介護支援,新潟県五泉市愛宕甲7211-1,,,,0250-58-1112,,0250-58-1161,,社会福祉法人五泉市社会福祉協議会,1571700358,月火水木金,,,,
152188,3000300021,新潟県,五泉市,五泉中央サポートセンター,ゴセンチュウオウサポートセンター,居宅介護支援,新潟県五泉市太田1135-1,,,,0250-41-1231,,0250-41-1239,6.11E+12,社会福祉法人中東福祉会,1571700135,月火水木金,,,,
152188,3000300022,新潟県,五泉市,五泉中央デイサービスセンター,ゴセンチュウオウデイサービスセンター,通所介護（デイサービス）,新潟県五泉市太田1133,,,,0250-41-1212,,0250-41-1213,6.11E+12,社会福祉法人中東福祉会,1571700101,月火水木金土日・祝,,60,,
152188,3000300023,新潟県,五泉市,五泉はじめ居宅支援室,ゴセンハジメキョタクシエンシツ,居宅介護支援,新潟県五泉市馬下1381,,,,0250-47-1066,,0250-47-1067,9.11E+12,社会福祉法人親永会,1571700648,月火水木金・祝,,,,
152188,3000300024,新潟県,五泉市,五泉訪問看護ステーション,ゴセンホウモンカンゴステーション,訪問看護,新潟県五泉市太田440-1,,,,0250-43-8449,,0250-43-8442,2.11E+12,医療法人社団真仁会,1561790013,月火水木金,,,,
152188,3000300025,新潟県,五泉市,五泉市村松デイサービスセンター,ゴセンムラマツデイサービスセンター,通所介護（デイサービス）,新潟県五泉市愛宕甲7211-1,,,,0250-58-1141,,0250-58-1161,,社会福祉法人五泉市社会福祉協議会,1571700341,月火水木金土日・祝,,30,,
152188,3000300026,新潟県,五泉市,コミュニティサービスきずな,コミュニティサービスキズナ,小規模多機能型居宅介護,新潟県五泉市上木越40-3,,,,0250-41-3636,,0250-41-3637,8.11E+12,株式会社きずな,1591700024,,,29,,
152188,3000300027,新潟県,五泉市,在宅介護支援センターうずらはし,ザイタクカイゴシエンセンターウズラハシ,居宅介護支援,新潟県五泉市橋田丙497-2,,,,0250-48-5588,,0250-48-5576,6.11E+12,社会福祉法人中東福祉会,1571700606,月火水木金土,,,,
152188,3000300028,新潟県,五泉市,在宅介護支援センター菅名の里,ザイタクカイゴシエンセンタースガナノサト,居宅介護支援,新潟県五泉市馬下1814-19,,,,0250-47-4719,,0250-47-1082,6.11E+12,社会福祉法人中東福祉会,1571700796,月火水木金土,,,,
152188,3000300029,新潟県,五泉市,社協ふれあいステーション五泉,シャキョウフレアイステーションゴセン,訪問介護（グループヘルプ）,新潟県五泉市太田1092-1,,,,0250-41-1000,,0250-43-0456,,社会福祉法人五泉市社会福祉協議会,1571700317,月火水木金土日,,,,
152188,3000300030,新潟県,五泉市,社協ふれあいステーション村松,シャキョウフレアイステーションムラマツ,訪問介護（グループヘルプ）,新潟県五泉市愛宕甲7211-1,,,,0250-58-1112,,0250-58-1161,,社会福祉法人五泉市社会福祉協議会,1571700333,月火水木金土日,,,,
152188,3000300031,新潟県,五泉市,小規模多機能型居宅介護アイカ,ショウキボタキノウガタキョタクカイゴアイカ,小規模多機能型居宅介護,新潟県五泉市南本町2-3-2,,,,0250-43-7044,,0250-43-7045,,株式会社ラカスタ,1591700016,,,29,,
152188,3000300032,新潟県,五泉市,小規模多機能型居宅介護輝亀菜の花,ショウキボタキノウガタキョタクカイゴカガヤキナノハナ,小規模多機能型居宅介護,新潟県五泉市東石曽根字若宮5657-1,,,,0250-58-0168,,0250-58-0166,6.11E+12,株式会社菜の花,1591700180,,,18,,
152188,3000300033,新潟県,五泉市,小規模多機能型居宅介護とういし菜の花,ショウキボタキノウガタキョタクカイゴトウイシナノハナ,小規模多機能型居宅介護,新潟県五泉市東石曽根5651,,,,0250-58-1767,,0250-58-0213,6.11E+12,株式会社菜の花,1591700099,,,28,,
152188,3000300034,新潟県,五泉市,小規模多機能型居宅介護菜の花,ショウキボタキノウガタキョタクカイゴナノハナ,小規模多機能型居宅介護,新潟県五泉市猿和田534-1,,,,0250-47-3147,,0250-43-2769,6.11E+12,株式会社菜の花,1591700057,,,26,,
152188,3000300035,新潟県,五泉市,小規模多機能型居宅介護結の里,ショウキボタキノウガタキョタクカイゴユイノサト,小規模多機能型居宅介護,新潟県五泉市五十嵐新田855-1,,,,0250-42-6000,,0250-42-0500,,社会福祉法人厚志会,1591700123,,,26,,
152188,3000300036,新潟県,五泉市,ショートステイあけぼの,ショートステイアケボノ,短期入所生活介護（ショートステイ）,新潟県五泉市村松98-1,,,,0250-41-5650,,0250-41-5651,3.11E+12,社会福祉法人茨塚福祉会,1571700713,,,,,
152188,3000300037,新潟県,五泉市,ショートステイすもとの里,ショートステイスモトノサト,短期入所生活介護（ショートステイ）,新潟県五泉市論瀬5975-12,,,,0250-43-5307,,0250-43-5108,5.11E+12,社会福祉法人ごせん福祉会,1571700150,,,,,
152188,3000300038,新潟県,五泉市,ショートステイひまわり,ショートステイヒマワリ,短期入所生活介護（ショートステイ）,新潟県五泉市南本町3-948-1,,,,0250-41-0303,,0250-41-0330,8.11E+12,医療法人社団五十嵐整形外科,1571700283,,,,,
152188,3000300039,新潟県,五泉市,菅名の里,スガナノサト,短期入所生活介護（ショートステイ）,新潟県五泉市馬下1814-19,,,,0250-47-1083,,0250-47-1082,6.11E+12,社会福祉法人中東福祉会,1571700143,,,,,
152188,3000300040,新潟県,五泉市,多機能ホームぶらんこ北五泉,タキノウホームブランコキタゴセン,小規模多機能型居宅介護,新潟県五泉市北五泉駅前2-13,,,,0250-47-8255,,0250-43-8250,,株式会社ぶらんこ,1591700172,,,24,,
152188,3000300041,新潟県,五泉市,ツクイ五泉赤海,ツクイゴセンアコウミ,通所介護（デイサービス）;認知症対応型通所介護,新潟県五泉市赤海2-6-14,,,,0250-43-8800,,0250-43-8802,,株式会社ツクイ,1571700721,月火水木金土日,,50,,
152188,3000300042,新潟県,五泉市,ツクイ五泉赤海,ツクイゴセンアコウミ,居宅介護支援,新潟県五泉市赤海2-6-14,,,,0250-43-8800,,0250-43-8802,,株式会社ツクイ,1571700739,月火水木金・祝,,,,
152188,3000300043,新潟県,五泉市,デイケアひまわり,デイケアヒマワリ,通所リハビリ,新潟県五泉市南本町3-948-1,,,,0250-41-0303,,0250-41-0330,8.11E+12,医療法人社団五十嵐整形外科,1511700442,月火水木金土,,40,,
152188,3000300044,新潟県,五泉市,デイサービスセンターうずらはし,デイサービスセンターウズラハシ,通所介護（デイサービス）;認知症対応型通所介護,新潟県五泉市橋田丙497-2,,,,0250-48-5577,,0250-48-5576,6.11E+12,社会福祉法人中東福祉会,1571700218,月火水木金土日・祝,,30（認知症対応型通所介護12）,,
152188,3000300045,新潟県,五泉市,デイサービスセンターこころつくしの家,デイサービスセンターココロツクシノイエ,通所介護（デイサービス）,新潟県五泉市村松甲5600-1,,,,0250-58-8312,,0250-58-8336,1.11E+12,社会福祉法人みどり心育会,1571700770,月火水木金土・祝,,18,,
152188,3000300046,新潟県,五泉市,デイサービスセンター菅名の里,デイサービスセンタースガナノサト,通所介護（デイサービス）,新潟県五泉市馬下1814-19,,,,0250-47-1083,,0250-47-1082,6.11E+12,社会福祉法人中東福祉会,1571700093,月火水木金土日・祝,,34,,
