都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
152188,3001300001,新潟県,五泉市,粟島公園運動広場,アワシマコウエンウンドウヒロバ,,,新潟県五泉市粟島4866,,37.748133,139.178371,,,,五泉市,月火水木金土日,08:00,19:00,通年,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/14/5/1862.html,スポーツ推進課
152188,3001300002,新潟県,五泉市,粟島公園テニスコート,アワシマコウエンテニスコート,,,新潟県五泉市粟島4866,,37.746438,139.179202,,,,五泉市,月火水木金土日,08:00,19:00,通年（ただし、降雪期は除く）※日没後は使用不可,団体の場合、使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1856.html,スポーツ推進課
152188,3001300003,新潟県,五泉市,粟島ふれあい館,アワシマフレアイカン,,,新潟県五泉市粟島851,,,,0250-43-1050,,,,日月火水木金土,09:00,22:00,12/29～12/31、1/1～1/3は終日利用不可。,使用許可申請書を使用日の3日前までに粟島ふれあい館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,多目的トイレ有り；スロープ有り,https://www.city.gosen.lg.jp/childcare_education/7/3714.html,生涯学習課
152188,3001300004,新潟県,五泉市,いきいきシニプラザむらまつ,イキイキシニアプラザムラマツ,,,五泉市村松甲2216,,,,0250-47-7391,,,,月火水木金,09:00,16:00,土、日、祝日利用不可、8/14～16利用不可、12/29～1/3利用不可,高齢者の介護予防及び趣味活動等を実施するための施設。利用料は200円/1日,多目的トイレ有り；スロープ有り,,高齢福祉課
152188,3001300005,新潟県,五泉市,五泉市川内体育館,ゴセンシカワチタイイクカン,川内体育館,,新潟県五泉市川内194,,37.677965,139.209914,,,,五泉市,月火水木金土日,09:00,22:00,12/29～12/31、1/1～1/3は休館。,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1851.html,スポーツ推進課
152188,3001300006,新潟県,五泉市,五泉市きなせや悠遊館,ゴセンシキナセヤユウユウカン,悠遊館,,五泉市吉沢3-1-19,,,,0250-43-4359,,,,月火水木金,09:00,16:00,土、日、祝日利用不可、8/14～16利用不可、12/29～1/3利用不可,高齢者の介護予防及び趣味活動等を実施するための施設。利用料は200円/1日,多目的トイレ有り；スロープ有り,,高齢福祉課
152188,3001300007,新潟県,五泉市,五泉市五箇スポーツ会館,ゴセンシゴカスポーツカイカン,五箇スポーツ会館,,新潟県五泉市笹野町甲2117-2,,37.698927,129.151547,(0250)58-1555,,,五泉市,月火水木金土日,09:00,22:00,12/29～12/31、1/1～1/3は休館。,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1848.html,スポーツ推進課
152188,3001300008,新潟県,五泉市,五泉市山王体育館,ゴセンシサンノウタイイクカン,山王体育館,,新潟県五泉市村松甲6441-14,,37.683474,139.173296,,,,五泉市,月火水木金土日,09:00,22:00,12/29～12/31、1/1～1/3は休館。,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1857.html,スポーツ推進課
152188,3001300009,新潟県,五泉市,五泉市市営野球場,ゴセンシシエイヤキュウジョウ,市営野球場,,新潟県五泉市丸田580-1,,37.745752,139.147187,(0250)43-0137,,,五泉市,月火水木金土日,08:00,19:00,4/1～11/30,使用許可申請書を使用日の3日前までに総合会館又は村松体育館の窓口に提出してください。施設使用料の詳細は市HPでご確認ください。,多目的トイレ有り;盲導犬・介助犬・聴導犬同伴可;スロープ有り,https://www.city.gosen.lg.jp/organization/22/2/1845.html,スポーツ推進課
152188,3001300010,新潟県,五泉市,五泉市市民プール,ゴセンシシミンプール,市民プール,,新潟県五泉市粟島753,,37.74921,139.177685,(0250)43-0800,,,五泉市,,,,"6/20～8/31（7/16～8/31を除く月曜日は休館）
※7/16～8/31は、10：00～21：00
　それ以外の平日は、14：00～21：00　
　土・日曜日、祝日は、12：00～19：00",施設使用料の詳細は市HPでご確認ください。,盲導犬・介助犬・聴導犬同伴可,https://www.city.gosen.lg.jp/organization/22/2/1846.html,スポーツ推進課
