都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
152188,3001400001,新潟県,五泉市,あさひ保育園,アサヒホイクエン,認可公立保育所,新潟県五泉市猿和田27,,,,,,0250-43-2837,,,,,,100,9か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400002,新潟県,五泉市,あたご学童クラブ,アタゴガクドウクラブ,放課後児童クラブ,新潟県五泉市石曽根8074－2（愛宕小学校内）,,,,,,0250-58-6356,,,,,,75,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400003,新潟県,五泉市,あわしま学童クラブ,アワシマガクドウクラブ,放課後児童クラブ,新潟県五泉市粟島851（粟島ふれあい館内）,,,,,,0250-43-1050,,,,,,57,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400004,新潟県,五泉市,いずみ学童クラブ,イズミガクドウクラブ,放課後児童クラブ,新潟県五泉市本町6丁目6－17,,,,,,0250-42-3365,,,,,,70,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400005,新潟県,五泉市,エービーシー幼稚園,エービーシーヨウチエン,認可私立保育所,新潟県五泉市五泉2483－2,,,,,,0250-42-5372,,,,,,160,6か月から,月火水木金土,07:30,18:30,,無,,
152188,3001400006,新潟県,五泉市,大蒲原保育園,オオカンバラホイクエン,認可公立保育所,新潟県五泉市南田中甲390,,,,,,0250-58-6919,,,,,,90,9か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400007,新潟県,五泉市,学童クラブげんき童夢,ガクドウクラブゲンキドウム,放課後児童クラブ,新潟県五泉市駅前2丁目6－24,,,,,,0250-43-1880,,,,,,62,小学校1年生,学校登校日,,18:30,開始時間は下校時から。　日曜日、祝日、12/29~1/3はお休み。,無,,
152188,3001400008,新潟県,五泉市,川内保育園,カワチホイクエン,認可公立保育所,新潟県五泉市川内153－3,,,,,,0250-55-6104,,,,,,60,9か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400009,新潟県,五泉市,かわひがし保育園,カワヒガシホイクエン,認可公立保育所,新潟県五泉市中川新880－1,,,,,,0250-43-1602,,,,,,110,6か月から,月火水木金土,07:15,18:15,土曜保育は8：30～12：00（第1、3、５土曜日）,無,,
152188,3001400010,新潟県,五泉市,五泉いずみこども園,ゴセンイズミコドモエン,認可私立保育所,新潟県五泉市東本町2－8－41,,,,,,0250-42-3366,,,,,,56,6か月から,月火水木金土,07:30,18:30,,無,,
