都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
152188,3000400001,新潟県,五泉市,五十嵐整形外科・歯科,イガラシセイケイゲカシカ,無床診療所,新潟県五泉市南本町3丁目948-1,,,,0250-43-3000,,,,,,月火水金土,09:00,18:00,,,整形外科;リハビリテーション科;歯科,0,http://www.gosen-tokan.jp/doctors/gosen/ikarashi/index.html,
152188,3000400002,新潟県,五泉市,石曽根医院,イシゾネイイン,無床診療所,新潟県五泉市石曽根7990,,,,0250-58-6335,,,,,,月火水木金土,09:00,18:00,,,内科;消化器科;循環器科,0,http://www.gosen-tokan.jp/doctors/muramatsu/ishizone/index.html,
152188,3000400003,新潟県,五泉市,大日方医院,オビナタイイン,無床診療所,新潟県五泉市寺沢3丁目2-1 ,,,,0250-48-5151,,,,,,月火水木金土,09:00,19:00,,,内科;外科;消化器内科;肛門外科;リハビリテーション科,0,http://www.obinata-med.com/,
152188,3000400004,新潟県,五泉市,笠原内科医院,カサハラナイカイイイン,無床診療所,新潟県五泉市村松乙135,,,,0250-58-7870,,,,,,月火水木金土,09:00,17:30,,,内科;循環器科,0,http://www.gosen-tokan.jp/doctors/muramatsu/kasahara/index.html,
152188,3000400005,新潟県,五泉市,金子医院,カネコイイン,無床診療所,新潟県五泉市村松甲1772,,,,0250-58-6073,,,,,,月火水木金土,09:00,18:00,,,内科;小児科;循環器科,0,http://www.gosen-tokan.jp/doctors/muramatsu/kaneko/index.html,
152188,3000400006,新潟県,五泉市,北五泉クリニック,キタゴセンクリニック,無床診療所,新潟県五泉市三本木3042－2,,,,0250-43-3880,,,,,,月火水木金土,09:00,18:00,,,内科;小児科;リウマチ科;リハビリテーション科,0,http://kitagosen.byoinnavi.jp/pc/,
152188,3000400007,新潟県,五泉市,五泉市東蒲原郡医師会夜間診療所,ゴセンシヒガシカンバラグンイシカイヤカンシンリョウジョ,無床診療所,新潟県五泉市本町1丁目5-18 ,,,,0250-25-7878,,,,,,月火水木金,19:00,22:00,,,内科;小児科,0,http://www.gosen-tokan.jp/night/info.html,
152188,3000400008,新潟県,五泉市,五泉中央病院,ゴセンチュウオウビョウイン,病院,新潟県五泉市太田489-1,,,,0250-47-8150,,,,,,月火水木金,08:30,17:00,,,内科;呼吸器内科;消化器内科;循環器内科;内分泌・代謝内科;腎臓内科;外科;整形外科;心臓血管外科;脳神経外科;泌尿器科;泌尿器科;こう門科;リハビリテーション科;麻酔科;小児科;眼科;放射線科;歯科,199,http://www.sinjinkai.or.jp/gosenchuo/,
152188,3000400009,新潟県,五泉市,五泉皮ふ科,ゴセンヒフカ,無床診療所,新潟県五泉市本町1丁目10-3-3,,,,0250-42-4112,,,,,,月火水木金土,09:00,17:30,,,皮膚科,0,http://www.gosen-tokan.jp/doctors/gosen/gosenhifuka/index.html,
152188,3000400010,新潟県,五泉市,五泉六島クリニック,ゴセンロクシマクリニック,無床診療所,新潟県五泉市三本木2丁目8-14,,,,0250-43-6233,,,,,,月火水木金土,09:00,18:30,,,内科;小児科;人工透析,0,https://gosen-rokushima-clinic.jp/,
