都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
152188,3000500001,新潟県,五泉市,板碑（五輪線刻塔婆）［相田家］,イタビ（ゴリンセンコクトウバ）［アイダケ］,,,市指定有形文化財,美術工芸品,,新潟県五泉市馬下1517,,37.736836,139.262606,,,1,基,,個人,1982-03-24,常時公開,,,,,,相田家で発見された板碑（五輪線刻塔婆）です。,,五輪線刻塔婆とは角柱状の自然石に五輪塔の形を線で刻んだ塔婆のことで、板碑ともいいます。鎌倉時代から南北朝時代を中心に死者の供養などを願い建立されました。判明している市内最古の板碑は泉福寺にある弘安8年（1285）のものです。県内各地でも出土していますが、五輪塔を線刻したものは少なく、この地方の特色と言えます。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500002,新潟県,五泉市,伊藤家住宅表門及び内塀,イトウケジュウタクオモテモンオヨビウチヘイ,,,登録有形文化財,建造物,,新潟県五泉市羽下122,,37.772804,139.173679,,,1,棟,,個人,2005-07-12,常時公開（外観のみ）,,,,,,旧家、伊藤家の表門及び内塀です。,,伊藤家は、江戸時代後期には庄屋を務めた旧家です。享和4年（1804）に役宅を備えた主屋が建てられ、その後何度か整備や改修が行われていますが、古材を再利用したり、部分的な改築にとどまったりしていため建物は昔の様子をよくとどめています。また、屋敷構えも江戸時代後期から昭和初期にかけての裕福な農民の様子をよく表しています。登録は、主屋、三階土蔵、米蔵、家財蔵及び計量場、納屋、表門及び内塀の6棟です。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500003,新潟県,五泉市,伊藤家住宅主屋,イトウケジュウタクオモヤ,,,登録有形文化財,建造物,,新潟県五泉市羽下122,,37.772999,139.173650,,,1,棟,,個人,2005-07-12,常時公開（外観のみ）,,,,,,旧家、伊藤家の主屋です。,,伊藤家は、江戸時代後期には庄屋を務めた旧家です。享和4年（1804）に役宅を備えた主屋が建てられ、その後何度か整備や改修が行われていますが、古材を再利用したり、部分的な改築にとどまったりしていため建物は昔の様子をよくとどめています。また、屋敷構えも江戸時代後期から昭和初期にかけての裕福な農民の様子をよく表しています。登録は、主屋、三階土蔵、米蔵、家財蔵及び計量場、納屋、表門及び内塀の6棟です。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500004,新潟県,五泉市,伊藤家住宅家財蔵及び計量場,イトウケジュウタクカザイグラオヨビケイリョウジョウ,,,登録有形文化財,建造物,,新潟県五泉市羽下122,,37.772732,139.173961,,,1,棟,,個人,2005-07-12,常時公開（外観のみ）,,,,,,旧家、伊藤家の家財蔵及び計量場です。,,伊藤家は、江戸時代後期には庄屋を務めた旧家です。享和4年（1804）に役宅を備えた主屋が建てられ、その後何度か整備や改修が行われていますが、古材を再利用したり、部分的な改築にとどまったりしていため建物は昔の様子をよくとどめています。また、屋敷構えも江戸時代後期から昭和初期にかけての裕福な農民の様子をよく表しています。登録は、主屋、三階土蔵、米蔵、家財蔵及び計量場、納屋、表門及び内塀の6棟です。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500005,新潟県,五泉市,伊藤家住宅米蔵,イトウケジュウタクコメグラ,,,登録有形文化財,建造物,,新潟県五泉市羽下122,,37.772732,139.173819,,,1,棟,,個人,2005-07-12,常時公開（外観のみ）,,,,,,旧家、伊藤家の米蔵です。,,伊藤家は、江戸時代後期には庄屋を務めた旧家です。享和4年（1804）に役宅を備えた主屋が建てられ、その後何度か整備や改修が行われていますが、古材を再利用したり、部分的な改築にとどまったりしていため建物は昔の様子をよくとどめています。また、屋敷構えも江戸時代後期から昭和初期にかけての裕福な農民の様子をよく表しています。登録は、主屋、三階土蔵、米蔵、家財蔵及び計量場、納屋、表門及び内塀の6棟です。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500006,新潟県,五泉市,伊藤家住宅三階土蔵,イトウケジュウタクサンカイドゾウ,,,登録有形文化財,建造物,,新潟県五泉市羽下122,,37.772590,139.173580,,,1,棟,,個人,2005-07-12,常時公開（外観のみ）,,,,,,旧家、伊藤家の三階土蔵です。,,伊藤家は、江戸時代後期には庄屋を務めた旧家です。享和4年（1804）に役宅を備えた主屋が建てられ、その後何度か整備や改修が行われていますが、古材を再利用したり、部分的な改築にとどまったりしていため建物は昔の様子をよくとどめています。また、屋敷構えも江戸時代後期から昭和初期にかけての裕福な農民の様子をよく表しています。登録は、主屋、三階土蔵、米蔵、家財蔵及び計量場、納屋、表門及び内塀の6棟です。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500007,新潟県,五泉市,伊藤家住宅納屋,イトウケジュウタクナヤ,,,登録有形文化財,建造物,,新潟県五泉市羽下122,,37.772605,139.173422,,,1,棟,,個人,2005-07-12,常時公開（外観のみ）,,,,,,旧家、伊藤家の納屋です。,,伊藤家は、江戸時代後期には庄屋を務めた旧家です。享和4年（1804）に役宅を備えた主屋が建てられ、その後何度か整備や改修が行われていますが、古材を再利用したり、部分的な改築にとどまったりしていため建物は昔の様子をよくとどめています。また、屋敷構えも江戸時代後期から昭和初期にかけての裕福な農民の様子をよく表しています。登録は、主屋、三階土蔵、米蔵、家財蔵及び計量場、納屋、表門及び内塀の6棟です。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500008,新潟県,五泉市,大江廣海歌碑,オオエヒロミカヒ,,,市指定有形文化財,美術工芸品,五泉八幡宮,新潟県五泉市宮町5-45,,37.741797,139.174179,,,1,個,,五泉八幡宮,1970-01-14,常時公開,,,,,,明治時代に建立された、大江廣海の歌碑です。,,"大江廣海は、江戸時代、越後・佐渡出身者で唯一全国的な国学者・歌人となった人です。明和6年（1769）に生まれ、幼少のころから優秀で、江戸に出てから村田晴美に師事。京都に出てからは私塾を開いて古典や詠歌の指導をしました。
　桜さく花の下陰分けくれて逢う人稀になりにけるかな
　文政庚寅春三月子　笑木邊歌之人　廣海",,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500009,新潟県,五泉市,大蔵遺跡,オオクライセキ,,,市指定史跡,,,新潟県五泉市大蔵,,37.699818,139.229506,,,,,,五泉市,1968-05-04,常時公開,,,,,,縄文時代中期（5000～4000年前）の大規模な集落遺跡です。,,発掘調査の結果、2軒のたて穴式住居跡と多くの土器・石器を発見し、約1000年もの間、営まれた縄文時代中期の遺跡であることが判明しました。特に出土した台付き浅鉢は、優勝カップに似た形から「栄光坏」と名付けられ、大蔵遺跡を代表する土器となっています。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
152188,3000500010,新潟県,五泉市,大沢鍾乳洞,オオサワショウニュウドウ,,,市指定天然記念物,,,新潟県五泉市刈羽乙1195外,,37.682693,139.100978,,,1,洞,,個人,1993-11-19,常時公開,,,,,,新生代新第三期世（2400-180万年前）に積もってできた地層が盛り上がり、陸となった後に形成された鍾乳洞です。,,日本の鍾乳洞は、中生代や古生代の石灰岩地帯に形成されているものが多く、大沢鍾乳洞は新しい地層の中にできたものとして、全国でも珍しく、学術的価値も極めて高い鍾乳洞です。主洞と支洞のほか、小さな枝洞があります。総延長は145.9ｍ、高低差は17ｍ。,,https://www.city.gosen.lg.jp/organization/21/7/1/1/index.html,
