都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
152188,2000600001,新潟県,五泉市,粟島公園,アワシマコウエン,,,五泉市粟島4866,,,,,,,,,,五泉市の特徴となっている清流に親しめるほか、スポーツ施設などがあり、市民の憩いの場となっています。公園内には市内出身者の記念碑や歌碑があるほか、市指定文化財があり、散策コースとしても楽しむことができます。また、観桜期には、花見客で大いに賑わいます。,,,,,,,,,,,
152188,2000600002,新潟県,五泉市,黄金の里,オウゴンノサト,,,五泉市蛭野878-13（黄金の里会館）,,,,,,,,,,蛭野地区は県内でもギンナンの産地として有名で、集落には100本以上の銀杏の木が植えられ、紅葉時期になると一面がこがね色に染まる事から「黄金の里」と呼ばれています。銀杏は樹齢200年～600年といわれる巨木が多く、雄大な白山を背景に黄葉が広がるのどかな田園風景は、秋の五泉市を代表する景色のひとつです。黄葉の見頃は例年11月中旬から下旬です。,,,,,,,,,,,
152188,2000600003,新潟県,五泉市,黄金の里会館,オウゴンノサトカイカン,,,五泉市蛭野878-13,,,,,,,,,,慈光寺杉並木の入口に位置する無料休憩所。山菜やギンナンなどの特産品をお買い求めいただけます。2階は食堂になっており、名物「むぎきり」や「慈光寺そば」などが人気です。会館前は、慈光寺参拝客や白山登山客の駐車場になってます。,,,,,,,,,,,
152188,2000600004,新潟県,五泉市,大沢鍾乳洞,オオサワショウニュウドウ,,,五泉市刈羽字大沢乙1195外,,,,,,,,,,新生代新第三紀（2400-180万年前）の新しい地層の中にできた全国でも珍しい鍾乳洞です。大沢鍾乳洞は主洞と支洞のほか小さな枝洞が4つあり、総延長は145.9ｍです。急で狭い入口をくぐると真夏でもひんやりとする冷気に包まれ神秘的な雰囲気が楽しめます。懐中電灯を手に探検気分を満喫できます。,,,,,,,,,,,
152188,2000600005,新潟県,五泉市,小山田彼岸桜樹林,オヤマダヒガンザクラジュリン,,,五泉市小山田1354-1,,,,,,,,,,江戸時代から続く桜の名所。その美しさは、良寛の弟橘由之を始め多くの文人が花見に来訪した記憶も残っているほどです。通称花見山の中腹から山麓にかけて約250本が群生し、古木・巨木の並木が階段状に続きます。4月中旬に見ごろを迎えます。,,,,,,,,,,,
152188,2000600006,新潟県,五泉市,上郷屋のオハツキイチョウ,カミゴウヤノオハツキイチョウ,,,五泉市論瀬3900,,,,,,,,,,上郷屋集落の諏訪神社境内に立つオハツキイチョウの大木。幹周りは7.5ｍにもおよび、全国に点在する同種の中で最も幹が太いことが判明しました。普通のイチョウと違い、葉に実がつくことからオハツキといわれます。植物の進化を知る上で貴重な樹木です。,,,,,,,,,,,
152188,2000600007,新潟県,五泉市,切畑の乳銀杏,キリハタノチチイチョウ,,,五泉市切畑18,,,,,,,,,,切畑集落の観音堂境内にそびえる雄イチョウの大木。幹の周りから数十本の乳柱が垂れ下がっていることから乳銀杏と呼ばれています。樹高は約40ｍ、幹周りは約12ｍもあります。奈良時代に行基が枝を切り、十一面観音像を彫ったとの伝説が残っています。母乳や安産の霊木として信仰されています。,,,,,,,,,,,
152188,2000600008,新潟県,五泉市,衣岩,コロモイワ,,,五泉市小面谷地内,,,,,,,,,,早出川の激しい浸食により、石英粗面岩の柱状節理が規則正しく並ぶ岩盤が露出した名勝地。この様子が衣のひだを思わせることが名前の由来となっています。早出川渓谷の自然の豊かさと険しさを象徴する景観です。新緑や紅葉の時期には、観光客が多く訪れます。,,,,,,,,,,,
152188,2000600009,新潟県,五泉市,咲花温泉,サキハナオンセン,,,五泉市佐取地内,,,,,,,,,,日本観光地百選に上位入賞した景勝゛阿賀野川ライン”のほとりにあり、豊富な湯量を誇る温泉地です。泉質は弱アルカリで、硫黄泉。成分的には硫酸塩泉の条件も満たしており、美肌に効果がある4つの条件のうち、3つを満たす欲張りな温泉です。エメラルドグリーンに輝くお湯が立寄る人々の心と体を癒します。,,,,,,,,,,,
152188,2000600010,新潟県,五泉市,桜橋の桜並木,サクラバシノサクラナミキ,,,粟島公園-五泉市粟島4866,,,,,,,,,,樹齢約90年の桜が続く並木。観桜期には約450ｍの区間でライトアップにより、美しい夜桜を楽しむこともできます。近くにある粟島公園の桜とともに家族連れやグループの花見客で大いに賑わいます。,,,,,,,,,,,
