都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考
152188,3000700001,新潟県,五泉市,阿賀野川ライン銘酒と名湯ごっつぉまつり,アガノガワラインメイシュトメイトウゴッツォマツリ,,2022-02-06,2022-02-06,10:30,15:00,例年2月上旬開催　　　　　　　　　　　　　　　　例年2月第1日曜日,景勝・阿賀野川ラインの五泉市・新潟市秋葉区・阿賀野市・阿賀町が合同で開催します。各地域の「酒」、「食」、「温泉」を堪能できるイベント。,,,,,,,道の駅阿賀の里,東蒲原郡阿賀町石間4301,,,,,,,,,,,商工観光課
152188,3000700002,新潟県,五泉市,秋の健康ウォーク,アキノケンコウウォーク,,2021-11-14,2021-11-14,,,,　コースは、新潟市秋葉区方面を予定しています。,,,"五泉市教育委員会
スポーツ推進課",(0250)42-5194,502,五泉市・五泉市教育委員会,五泉市総合会館　他,新潟県五泉市旭町7-11　他,,37.747149,139.180616,"磐越自動車道安田ICから車で15分
JR磐越西線北五泉駅から徒歩15分
JR磐越西線五泉駅から徒歩20分
JR磐越西線五泉駅から車で5分",有り,30,,,申込用紙提出,,スポーツ推進課
152188,3000700003,新潟県,五泉市,秋のふれあいウォーク,アキノフレアイウォーク,,2021-09-26,2021-09-26,,,,　コースは、石曽根～川内方面を予定しています。,,,"五泉市教育委員会
スポーツ推進課",(0250)42-5194,502,五泉市・五泉市教育委員会,五泉市村松体育館　他,新潟県五泉市石曽根8074-1　他,,37.696888,139.190039,"磐越自動車道安田ICから車で25分
JR磐越西線五泉駅から車で25分",有り,30,,,申込用紙提出,,スポーツ推進課
152188,3000700004,新潟県,五泉市,粟島子安延命地蔵尊祭礼,アワシマコヤスエンメイジゾウソンサイレイ,,2021-08-23,2021-08-23,09:00,17:00,,約170年前に安置された大石仏、子安延命地蔵尊のお祭りです。,,,,,,,粟島公園,五泉市粟島4866,,,,,,,,,,,商工観光課
152188,3000700005,新潟県,五泉市,粟島神社祭礼,アワシマジンジャサイレイ,,2021-07-13,2021-07-13,09:00,17:00,,農耕を奨励する神様を祀るお祭りです。,,,,,,,粟島公園,五泉市粟島4866,,,,,,,,,,,商工観光課
152188,3000700006,新潟県,五泉市,雷山山開き,イカヅチヤマヤマビラキ,,2021-04-11,2021-04-11,09:00,17:00,,永谷寺前で山開きを行います。,,,,,,,雷山　永谷寺前,五泉市川内1430,,,,,,,,,,,商工観光課
152188,3000700007,新潟県,五泉市,黄金の里イチョウ,オウゴンノサトイチョウ,,2021-11-01,2021-11-30,00:00,23:59,例年11月上旬～下旬見頃,イチョウの名所蛭野。集落全体が黄葉に染まることから「黄金の里」と呼ばれます。黄葉期間中はライトアップも行われます。,,,,,,,蛭野地区,五泉市蛭野地内,,,,,,,,,,,商工観光課
152188,3000700008,新潟県,五泉市,おはなしタイム,オハナシタイム,,,,,,,"読書ボランティアによる絵本の読み聞かせを行っています。
第１・３土曜日は11:00～11:30（幼児～小学生対象）
第２・４土曜日は10:30～11:00（幼児対象）",無料,,五泉市立図書館,0250-43-3110,,五泉市立図書館,五泉市立図書館２階和室,五泉市郷屋川1-1-8,,,,,,,,,申込不要,,図書館
152188,3000700009,新潟県,五泉市,小山田彼岸桜樹林,オヤマダヒガンザクラジュリン,,2021-04-11,2021-04-20,00:00,23:49,例年は４月中旬見頃,菅名岳西側の蟹沢山の中腹から山麓にかけて、約250本のエドヒガンが見頃を向かえます。,,,,,,,小山田,五泉市小山田1354-1,,,,,,,,,,,商工観光課
152188,3000700010,新潟県,五泉市,葛飾区産業フェア,カツシカクサンギョウフェア,,2021-10-22,2021-10-24,09:00,17:00,,五泉の特産品の販売を行います。,,,,,,,テクノプラザかつしか（東京都）,東京都葛飾区青戸7丁目2-1,,,,,,,,,,,商工観光課
152188,3000700011,新潟県,五泉市,きなせやまつり,キナセヤマツリ,,2021-08-01,2021-08-10,09:00,17:00,８月上旬開催,各種団体による演奏、演舞披露、民謡流し,,,,,,,五泉駅前,駅前通り,,,,,,,,,,,商工観光課
152188,3000700012,新潟県,五泉市,金婚式,キンコンシキ,kinnkonnsiki,2020-11-20,2020-11-20,11:00,12:30,,市内在住の結婚50年を迎えるご夫婦を対象に金婚をお祝いします。,0,,高齢福祉課,0250-43-3911,236,五泉市,さくらんど会館,新潟県五泉市村松乙118-2,,37.692438,139.173662,JR五泉駅から車で12分,,,,,TEL、窓口等で参加申し込み,https://www.city.gosen.lg.jp/health_welfare/3/2687.html,高齢福祉課
152188,3000700013,新潟県,五泉市,敬老会,ケイロウカイ,keiroukai,2020-09-26,2020-09-26,11:00,12:30,,市内在住の78歳以上の方（今年度78歳になる方を含む）を対象に長寿をお祝いします。,0,,高齢福祉課,0250-43-3911,236,五泉市,五泉市総合会館大ホール（五泉地域）,新潟県五泉市7,,37.747034,139.179788,JR北五泉駅から徒歩12分,,,,,対象者に案内を送付し、参加希望者は返信する。,https://www.city.gosen.lg.jp/health_welfare/3/2687.html,高齢福祉課
152188,3000700014,新潟県,五泉市,敬老会,ケイロウカイ,keiroukai,2020-09-29,2020-09-30,11:00,12:30,,市内在住の78歳以上の方（今年度78歳になる方を含む）を対象に長寿をお祝いします。,0,,高齢福祉課,0250-43-3911,236,五泉市,さくらんど会館（村松地域）,新潟県五泉市村松乙118-2,,37.692438,139.173662,JR五泉駅から車で12分,,,,,対象者に案内を送付し、参加希望者は返信する。,https://www.city.gosen.lg.jp/health_welfare/3/2687.html,高齢福祉課
152188,3000700015,新潟県,五泉市,江東区民まつり中央まつり,コウトウクミンマツリチュウオウマツリ,,2021-10-30,2021-10-31,09:00,17:00,,五泉の特産品の販売を行います。,,,,,,,都立木場公園（東京都）,東京都江東区木場4・5丁目・平野4丁目,,,,,,,,,,,商工観光課
152188,3000700016,新潟県,五泉市,五泉応援団総会,ゴセンオウエンダンソウカイ,,2021-11-20,2021-11-20,11:30,15:30,,首都圏にお住いの五泉市出身の皆さんとの情報交換及び交流を深めるための総会。,,,,,,,ホテルグランドパレス（東京都）,東京都千代田区飯田橋1丁目1-1,,,,,,,,,,,商工観光課
152188,3000700017,新潟県,五泉市,五泉市花木まつり,ゴセンシカボクマツリ,,2021-05-01,2021-05-31,,,新型コロナウイルス感染拡大防止の為イベント及び出店とを中止した規模を縮小した開催,"五泉市東公園内にあるぼたん百種展示園及びしゃくやく園で開催。５月上旬から中旬に120品種、5,000株のぼたんが大輪の花を咲かせ、５月中旬から下旬には40品種、2,100株の色とりどりのしゃくやくが見頃をむかえます。",無料,まつりの管理運営のため、協力金をお願いしています。,五泉市農林課,0250-43-3911,250・251・253,五泉市花木まつり実行委員会,"五泉市東公園内
ぼたん百種展示園・しゃくやく園",新潟県五泉市赤海3551-11,,37.742958,139.19481,JR五泉駅より車で約５分,普通車270台、大型６台,無し,,,,https://www.city.gosen.lg.jp/organization/12/4/1871.html,農林課
152188,3000700018,新潟県,五泉市,五泉市さといもまつり,ゴセンシサトイモマツリ,,,,09:00,,開催日等詳細は８月下旬に開催予定の実行委員会にて決定。,五泉市の特産品であるさといもの消費拡大とPRのため、毎年第２日曜日をさといもの日と定めました。まつりでは、さといもの掘り取り体験やさといも汁と新米おにぎりの販売、特産品の即売会を実施します。,,,五泉市農林課,0250-43-3911,250・251・253,五泉市さといもまつり実行委員会,"五泉市三本木
早出川河川敷",新潟県五泉市三本木地内,,37.750992,139.190868,JR五泉駅より車で約10分,臨時駐車場　普通車約680台,,,,,https://www.city.gosen.lg.jp/organization/12/7/2/2/1764.html,農林課
152188,3000700019,新潟県,五泉市,五泉市チューリップまつり,ゴセンシチューリップマツリ,,2021-04-17,2021-04-30,,,新型コロナウイルス感染拡大防止の為イベント及び出店とを中止した規模を縮小した開催,生産者の方々が栽培している球根を一本杉地内の圃場一か所に集めて開催。連作が出来ないため、毎年会場を変えて開催しています。,無料,まつりの管理運営のため、協力金をお願いしています。,五泉市農林課,0250-43-3911,250・251・253,五泉市チューリップまつり実行委員会,"五泉市一本杉地内
チューリップ畑",新潟県五泉市一本杉地内,,37.755378,139.193803,JR五泉駅より車で約10分,"臨時駐車場
普通車約450台、大型約５台",無し,,,,https://www.city.gosen.lg.jp/organization/12/7/2/1/1715.html,農林課
