都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度,経度,口径,備考
152188,3001000001,新潟県,五泉市,消火栓,青橋,,37.687495,139.157236,200,1
152188,3001000002,新潟県,五泉市,消火栓,青橋,,37.684612,139.151987,75,3
152188,3001000003,新潟県,五泉市,消火栓,青橋,,37.683300,139.151645,150,4
152188,3001000004,新潟県,五泉市,消火栓,青橋,,37.683733,139.150811,150,5
152188,3001000005,新潟県,五泉市,消火栓,青橋,,37.683896,139.150257,150,6
152188,3001000006,新潟県,五泉市,消火栓,青橋,,37.682600,139.149747,75,7
152188,3001000007,新潟県,五泉市,消火栓,青橋甲,,37.685856,139.151562,75,2
152188,3001000008,新潟県,五泉市,消火栓,青橋新田,,37.681448,139.158705,150,1
152188,3001000009,新潟県,五泉市,消火栓,青橋新田,,37.681651,139.156548,150,2
152188,3001000010,新潟県,五泉市,消火栓,青橋新田,,37.680886,139.161633,100,3
152188,3001000011,新潟県,五泉市,消火栓,青橋新田,,37.678452,139.159148,100,4
152188,3001000012,新潟県,五泉市,消火栓,青橋新田,,37.679482,139.157469,100,5
152188,3001000013,新潟県,五泉市,消火栓,青橋新田,,37.677122,139.157941,100,6
152188,3001000014,新潟県,五泉市,消火栓,赤海,,37.741696,139.191223,100,1
152188,3001000015,新潟県,五泉市,消火栓,赤海,,37.742612,139.191631,200,2
152188,3001000016,新潟県,五泉市,消火栓,赤海,,37.740580,139.191590,150,3
152188,3001000017,新潟県,五泉市,消火栓,赤海,,37.738641,139.191624,200,4
152188,3001000018,新潟県,五泉市,消火栓,赤海,,37.745900,139.199956,75,善願１
152188,3001000019,新潟県,五泉市,消火栓,赤海,,37.745773,139.194892,75,善願２
152188,3001000020,新潟県,五泉市,消火栓,赤海,,37.744215,139.199580,75,善願３
152188,3001000021,新潟県,五泉市,消火栓,赤海1丁目,,37.736424,139.187818,125,1
152188,3001000022,新潟県,五泉市,消火栓,赤海1丁目,,37.736193,139.189274,100,2
152188,3001000023,新潟県,五泉市,消火栓,赤海1丁目,,37.737695,139.187244,100,3
152188,3001000024,新潟県,五泉市,消火栓,赤海1丁目,,37.734178,139.187544,100,4
152188,3001000025,新潟県,五泉市,消火栓,赤海1丁目,,37.737684,139.185573,100,5
152188,3001000026,新潟県,五泉市,消火栓,赤海1丁目,,37.733228,139.187823,75,6
152188,3001000027,新潟県,五泉市,消火栓,赤海1丁目,,37.735521,139.186887,100,7
152188,3001000028,新潟県,五泉市,消火栓,赤海2丁目,,37.735535,139.191482,150,1
152188,3001000029,新潟県,五泉市,消火栓,赤海2丁目,,37.737559,139.189462,100,2
152188,3001000030,新潟県,五泉市,消火栓,赤海2丁目,,37.734631,139.194655,150,3
152188,3001000031,新潟県,五泉市,消火栓,赤海2丁目,,37.737467,139.191643,100,4
152188,3001000032,新潟県,五泉市,消火栓,赤海2丁目,,37.735522,139.195124,150,5
152188,3001000033,新潟県,五泉市,消火栓,赤海2丁目,,37.735911,139.190264,75,6
152188,3001000034,新潟県,五泉市,消火栓,赤海2丁目,,37.736435,139.191959,200,7
152188,3001000035,新潟県,五泉市,消火栓,赤海2丁目,,37.737394,139.193807,100,10
152188,3001000036,新潟県,五泉市,消火栓,赤海2丁目,,37.733501,139.194102,75,11
152188,3001000037,新潟県,五泉市,消火栓,赤海2丁目,,37.753164,139.193613,100,12
152188,3001000038,新潟県,五泉市,消火栓,赤羽,,37.728682,139.211047,75,1
152188,3001000039,新潟県,五泉市,消火栓,赤羽,,37.731418,139.208591,100,2
152188,3001000040,新潟県,五泉市,消火栓,赤羽,,37.731975,139.205892,150,3
152188,3001000041,新潟県,五泉市,消火栓,赤羽,,37.729232,139.210287,75,4
152188,3001000042,新潟県,五泉市,消火栓,赤羽,,37.732242,139.207905,150,5
152188,3001000043,新潟県,五泉市,消火栓,曙町,,37.734923,139.198038,100,1
152188,3001000044,新潟県,五泉市,消火栓,曙町,,37.734466,139.199520,100,2
152188,3001000045,新潟県,五泉市,消火栓,曙町,,37.735725,139.198403,100,3
152188,3001000046,新潟県,五泉市,消火栓,旭町,,37.744645,139.179098,100,1
152188,3001000047,新潟県,五泉市,消火栓,旭町,,37.746327,139.180672,250,2
152188,3001000048,新潟県,五泉市,消火栓,旭町,,37.747266,139.180978,250,3
152188,3001000049,新潟県,五泉市,消火栓,旭町,,37.745782,139.181777,75,4
152188,3001000050,新潟県,五泉市,消火栓,愛宕,,37.697084,139.189317,125,愛宕1
152188,3001000051,新潟県,五泉市,消火栓,愛宕,,37.689489,139.192772,75,愛宕7
152188,3001000052,新潟県,五泉市,消火栓,愛宕甲,,37.688042,139.193224,75,愛宕8
152188,3001000053,新潟県,五泉市,消火栓,阿弥陀瀬,,37.666809,139.201198,100,上阿弥陀瀬１
152188,3001000054,新潟県,五泉市,消火栓,阿弥陀瀬,,37.667058,139.204448,75,上阿弥陀瀬２
152188,3001000055,新潟県,五泉市,消火栓,新屋,,37.664964,139.179813,100,1
152188,3001000056,新潟県,五泉市,消火栓,新屋,,37.664032,139.178514,75,2
152188,3001000057,新潟県,五泉市,消火栓,新屋,,37.663705,139.177247,75,3
152188,3001000058,新潟県,五泉市,消火栓,新屋,,37.662492,139.177386,75,4
152188,3001000059,新潟県,五泉市,消火栓,新屋,,37.662002,139.176521,75,5
152188,3001000060,新潟県,五泉市,消火栓,粟島,,37.748219,139.179731,100,1
152188,3001000061,新潟県,五泉市,消火栓,粟島,,37.748200,139.181609,75,2
152188,3001000062,新潟県,五泉市,消火栓,粟島,,37.748736,139.181869,75,3
152188,3001000063,新潟県,五泉市,消火栓,五十嵐新田,,37.718846,139.199062,75,1
152188,3001000064,新潟県,五泉市,消火栓,五十嵐新田,,37.720897,139.198142,75,2
152188,3001000065,新潟県,五泉市,消火栓,五十嵐新田,,37.721845,139.197658,75,3
152188,3001000066,新潟県,五泉市,消火栓,石倉,,37.739967,139.154546,100,1
