NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
2001100001,粟島公園,アワシマコウエン,新潟県五泉市粟島4866-1,,37.747427,139.178807,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100002,太田児童公園,オオタジドウコウエン,新潟県五泉市太田1-355-1,,37.740056,139.185882,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100003,蒲原農村公園,カンバラノウソンコウエン,新潟県五泉市下大蒲原963,,37.656303,139.146644,,0250-43-3911 ,,152188,新潟県,五泉市,1,,,1,,1,,,,,,,
2001100004,五箇農村公園,ゴカノウソンコウエン,新潟県五泉市笹野町甲2117-1,,37.698923,139.151533,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100005,五泉市粟島ふれあい館,ゴセンシアワシマフレアイカン,新潟県五泉市粟島851,,37.749610,139.177333,,0250-43-1050,,152188,新潟県,五泉市,,1,,1,,1,,,1,229,,,
2001100006,五泉市川内体育館,ゴセンシカワチタイイクカン,新潟県五泉市川内197,,37.677679,139.210528,,0250-42-5194,,152188,新潟県,五泉市,1,1,,1,,1,,,1,436,,,
2001100007,五泉市五箇スポーツ会館,ゴセンシゴカスポーツカイカン,新潟県五泉市笹野町甲2117-2,,37.698897,139.151521,,0250-58-1555,,152188,新潟県,五泉市,,1,,1,,1,,,1,651,,,
2001100008,五泉市さくらんど会館,ゴセンシサクランドカイカン,新潟県五泉市村松乙118-2,,37.700336,139.206518,,0250-58-1133,,152188,新潟県,五泉市,1,1,,1,,1,,,1,1105,,,
2001100009,五泉市山王体育館,ゴセンシサンノウタイイクカン,新潟県五泉市村松甲6441-14,,37.683695,139.172357,,0250-58-7019,,152188,新潟県,五泉市,1,,,1,,1,,,1,836,,,
2001100010,五泉市市営野球場,ゴセンシシエイヤキュウジョウ,新潟県五泉市丸田580-1,,37.745754,139.147184,,0250-43-0137,,152188,新潟県,五泉市,,1,,1,,1,,,,25,,,
2001100011,五泉市十全体育館,ゴセンシジュウゼンタイイクカン,新潟県五泉市安出156-1,,37.668268,139.180695,,0250-42-5194,,152188,新潟県,五泉市,1,1,,1,,1,,,1,415,,,
2001100012,五泉市森林公園,ゴセンシシンリンコウエン,新潟県五泉市丸田199,,37.745085,139.138254,,0250-42-2930 ,,152188,新潟県,五泉市,1,,,1,,1,,,,,,,
2001100013,五泉市総合会館,ゴセンシソウゴウカイカン,新潟県五泉市旭町7-11,,37.746952,139.179831,,0250-42-5194,,152188,新潟県,五泉市,1,1,,1,,1,,,1,4927,,,
2001100014,五泉市戸倉コミュニティ会館,ゴセンシトグラコミュニティカイカン,新潟県五泉市上戸倉1640,,37.636599,139.165250,,0250-58-2939,,152188,新潟県,五泉市,1,,,1,,1,,,1,232,,,
2001100015,五泉市村松工業団地公園,ゴセンシムラマツコウギョウダンチコウエン,新潟県五泉市村松工業団地１丁目甲1164-1,,37.681494,139.160015,,0250-43-3911 ,,152188,新潟県,五泉市,,1,,1,,1,,,,,,,
2001100016,五泉市村松公民館,ゴセンシムラマツコウミンカン,新潟県五泉市村松乙130-1,,37.693480,139.174261,,0250-58-5082,,152188,新潟県,五泉市,1,1,,1,,1,,,1,326,,,
2001100017,五泉市村松さくらんど温泉,ゴセンシムラマツサクランドオンセン,新潟県五泉市上木越甲423-1,,37.700336,139.206518,,0250-58-1611,,152188,新潟県,五泉市,,1,,1,,1,,,1,341,,,
2001100018,五泉市村松体育館,ゴセンシムラマツタイイクカン,新潟県五泉市石曽根8074-1,,37.696850,139.190075,,0250-58-6373,,152188,新潟県,五泉市,1,1,,1,,1,,,1,990,,,
2001100019,五泉市村松テニスコート,ゴセンシムラマツテニスコート,新潟県五泉市石曽根7943-2,,37.697115,139.185756,,0250-42-5194,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100020,五泉市村松武道館,ゴセンシムラマツブドウカン,新潟県五泉市愛宕甲2631,,37.693693,139.189571,,0250-58-8129,,152188,新潟県,五泉市,1,1,,1,,1,,,1,795,,,
2001100021,五泉市村松野球場,ゴセンシムラマツヤキュウジョウ,新潟県五泉市愛宕甲2712-1,,37.690853,139.191620,,0250-42-5194,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100022,五泉市陸上競技場,ゴセンシリクジョウキョウギジョウ,新潟県五泉市愛宕甲2660,,37.691842,139.189933,,0250-42-5194,,152188,新潟県,五泉市,1,1,,1,,1,,,,,,,
2001100023,五泉市立あさひ保育園,ゴセンシリツアサヒホイクエン,新潟県五泉市猿和田27,,37.732833,139.229831,,0250-43-2837,,152188,新潟県,五泉市,1,1,,1,,1,,,1,238,,,
2001100024,五泉市立愛宕小学校,ゴセンシリツアタゴショウガッコウ,新潟県五泉市石曽根8074-2,,37.697885,139.190443,,0250-58-6302,,152188,新潟県,五泉市,1,1,,1,,1,,,1,919,,,
2001100025,五泉市立大蒲原小学校,ゴセンシリツオオカンバラショウガッコウ,新潟県五泉市南田中646-2,,37.672875,139.149899,,0250-58-6306,,152188,新潟県,五泉市,,1,,1,,1,,,1,500,,,
2001100026,五泉市立大蒲原保育園,ゴセンシリツオオカンバラホイクエン,新潟県五泉市南田中甲390,,37.672849,139.151217,,0250-58-6919,,152188,新潟県,五泉市,,1,,1,,1,,,1,97,,,
2001100027,五泉市立川内保育園,ゴセンシリツカワチホイクエン,新潟県五泉市川内153-3,,37.678444,139.210813,,0250-55-6104,,152188,新潟県,五泉市,1,1,,1,,1,,,1,64,,,
2001100028,五泉市立川東小学校,ゴセンシリツカワヒガシショウガッコウ,新潟県五泉市中川新2431,,37.729250,139.228556,,0250-42-3737,,152188,新潟県,五泉市,1,1,,1,,1,,,1,736,,,
2001100029,五泉市立川東中学校,ゴセンシリツカワヒガシチュウガッコウ,新潟県五泉市猿和田181,,37.729211,139.224926,,0250-42-3577,,152188,新潟県,五泉市,1,1,,1,,1,,,1,713,,,
2001100030,五泉市立かわひがし保育園,ゴセンシリツカワヒガシホイクエン,新潟県五泉市中川新880-1,,37.722147,139.222776,,0250-43-1602,,152188,新潟県,五泉市,1,1,,1,,1,,,1,275,,,
2001100031,五泉市立五泉北中学校,ゴセンシリツゴセンキタチュウガッコウ,新潟県五泉市三本木2-7-1,,37.754231,139.172948,,0250-43-0150,,152188,新潟県,五泉市,1,1,,1,,1,,,1,1007,,,
